features,pvalue,effect_size
COD_PROGRAMA,4.931859254766995e-06,0.2832452081956378
JORNADA,0.3870214458574449,-0.05366820885657634
DURACION,0.3714220861214159,-0.05545274289491078
PERIODO_INGRESO,0.0029441211957618595,0.1844018506278916
ESTADO_CIVIL,0.17326980212333276,0.08446794448116325
ESTRATO,0.0054620433788686445,0.17230667547918044
CONDICION_EXCEPCION,0.3419553195213414,-0.058955717118308
TIPO_COLEGIO,0.7527669350599147,0.019563780568407137
RANGO_INGRESOS,0.01233698945800756,0.15518836748182419
RANGO_GASTOS,0.47873751891951155,0.04395241242564441
TIPO_VIVIENDA,0.028911000565556864,0.13549239920687375
PUNTAJE_ICFES,0.03899462452008622,0.1280237937871778
PCN,0.9698138156233628,-0.0023793787177792463
PLC,0.03522031293093337,0.13060145406477197
PMA,0.9417912471470656,-0.004560475875743556
PSC,0.6141193900191003,0.03129543952412426
PIN,0.35566349907016526,-0.05730337078651685
