features,pvalue,effect_size
COD_PROGRAMA,0.000635738061096715,0.21183079973562458
JORNADA,0.025360669683653973,-0.13866490416391275
DURACION,5.227264819741653e-13,0.4476536682088566
PERIODO_INGRESO,0.00027066093102969647,0.2258426966292135
ESTADO_CIVIL,0.009920942566755337,-0.15991407799074686
ESTRATO,0.18963101373984936,-0.0813615333773959
CONDICION_EXCEPCION,5.049220835904096e-05,-0.2513549239920687
TIPO_COLEGIO,0.6905281787652671,0.024719101123595506
RANGO_INGRESOS,0.4078274149364598,0.051354923992068736
RANGO_GASTOS,0.01845709185818297,0.1461335095836087
TIPO_VIVIENDA,0.8249460576292479,0.013747521480502314
PUNTAJE_ICFES,0.24419385868094767,0.0722405816259088
PCN,0.9774642701289085,-0.001784534038334435
PLC,0.08352381355857942,0.10733641771315268
PMA,0.3457590992389622,-0.05849306014540648
PSC,0.24333152575222394,0.07237276933245208
PIN,0.507652107223,0.04111037673496365
