features,pvalue,effect_size
COD_PROGRAMA,1.4735900407805155e-09,0.37498347653668207
JORNADA,0.003940251490294268,0.17878387309980173
DURACION,2.6800850106645953e-08,-0.3448446794448116
PERIODO_INGRESO,0.002985286415333531,0.18413747521480503
ESTADO_CIVIL,0.007448258861109142,-0.16596166556510245
ESTRATO,0.8507645223285368,0.011698612029081295
CONDICION_EXCEPCION,9.134523001280835e-12,0.42286847323198945
TIPO_COLEGIO,0.08033984525015012,0.10846001321877065
RANGO_INGRESOS,0.02167064487527941,0.14239920687376073
RANGO_GASTOS,0.01371991627581836,0.15284203569068078
TIPO_VIVIENDA,0.7673785234083358,-0.018374091209517517
PUNTAJE_ICFES,0.5797366328629519,0.034368803701255786
PCN,0.9273812597405838,-0.005684071381361533
PLC,0.07557386082748557,0.11021150033046927
PMA,0.455882870457597,-0.046265697290152015
PSC,0.8994810010686876,0.007865168539325843
PIN,0.12001473465177917,-0.09643093192333113
