features,pvalue,effect_size
COD_PROGRAMA,8.918813193727147e-07,0.30472571050892266
JORNADA,0.012430167505841873,0.15502313284864508
DURACION,1.1722396428266645e-06,0.30138797091870456
PERIODO_INGRESO,0.009844690431835853,0.16007931262392597
ESTADO_CIVIL,0.4754346663105683,-0.044282881692002646
ESTRATO,0.05160015412578247,0.12072042300066094
CONDICION_EXCEPCION,1.5315931353793665e-10,0.39699272967614013
TIPO_COLEGIO,0.37485449387092207,0.0550561797752809
RANGO_INGRESOS,0.4880516392618076,0.043027098479841375
RANGO_GASTOS,0.9562203139862928,0.0034368803701255784
TIPO_VIVIENDA,0.15089153946524198,0.08909451421017846
PUNTAJE_ICFES,0.14374866559969332,0.09068076668869796
PCN,0.6616913963709485,0.027164573694646397
PLC,0.08819200175320131,0.10575016523463318
PMA,0.5360524717487254,-0.038400528750826175
PSC,0.9740637703064883,-0.002048909451421018
PIN,0.7430745193930224,-0.020356906807666886
